Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust
Switzerland,1,7.587,1.397,1.350,0.941,0.666,0.420
Iceland,2,7.561,1.302,1.402,0.948,0.629,0.141
Denmark,3,7.527,1.325,1.361,0.875,0.649,0.484
Norway,4,7.522,1.459,1.331,0.885,0.670,0.365
Canada,5,7.427,1.326,1.323,0.906,0.633,0.330
Finland,6,7.406,1.290,1.318,0.889,0.642,0.414
Netherlands,7,7.378,1.329,1.280,0.893,0.616,0.318
Sweden,8,7.364,1.332,1.289,0.911,0.660,0.438
New Zealand,9,7.286,1.250,1.320,0.908,0.639,0.429
Australia,10,7.284,1.334,1.309,0.932,0.651,0.356
Israel,11,7.278,1.229,1.224,0.914,0.413,0.078
Costa Rica,12,7.226,0.956,1.238,0.860,0.634,0.106
Austria,13,7.200,1.337,1.297,0.890,0.624,0.187
Mexico,14,7.187,1.021,0.915,0.814,0.482,0.213
United States,15,7.119,1.395,1.247,0.862,0.546,0.159
Brazil,16,6.983,0.981,1.233,0.697,0.490,0.175
Luxembourg,17,6.946,1.564,1.220,0.919,0.616,0.378
Ireland,18,6.940,1.336,1.369,0.895,0.618,0.287
Belgium,19,6.937,1.308,1.286,0.897,0.585,0.225
United Arab Emirates,20,6.901,1.427,1.126,0.809,0.642,0.386
United Kingdom,21,6.867,1.266,1.285,0.909,0.596,0.321
Oman,22,6.853,1.360,1.082,0.763,0.633,0.325
Venezuela,23,6.810,1.044,1.256,0.721,0.429,0.111
Singapore,24,6.798,1.522,1.020,1.025,0.543,0.492
Panama,25,6.786,1.064,1.199,0.797,0.542,0.093
Germany,26,6.750,1.328,1.299,0.892,0.615,0.218
Chile,27,6.670,1.107,1.124,0.859,0.441,0.129
Qatar,28,6.611,1.690,1.079,0.797,0.640,0.522
France,29,6.575,1.278,1.260,0.946,0.550,0.206
Argentina,30,6.574,1.054,1.248,0.787,0.450,0.085
Czech Republic,31,6.505,1.179,1.206,0.845,0.464,0.027
Uruguay,32,6.485,1.062,1.209,0.812,0.604,0.246
Colombia,33,6.477,0.919,1.240,0.691,0.535,0.051
Thailand,34,6.455,0.967,1.265,0.739,0.557,0.032
Saudi Arabia,35,6.411,1.395,1.084,0.720,0.310,0.325
Spain,36,6.329,1.230,1.314,0.956,0.460,0.064
Malta,37,6.302,1.207,1.302,0.887,0.604,0.136
Taiwan,38,6.298,1.291,1.076,0.875,0.397,0.081
Kuwait,39,6.295,1.554,1.166,0.725,0.555,0.256
Suriname,40,6.269,0.995,0.972,0.608,0.597,0.136
Trinidad and Tobago,41,6.168,1.212,1.184,0.615,0.559,0.011
El Salvador,42,6.130,0.765,1.025,0.677,0.404,0.118
Guatemala,43,6.123,0.746,1.044,0.644,0.577,0.095
Uzbekistan,44,6.003,0.632,1.340,0.598,0.658,0.308
Slovakia,45,5.995,1.169,1.270,0.789,0.318,0.034
Japan,46,5.987,1.271,1.257,0.991,0.496,0.181
South Korea,47,5.984,1.245,0.958,0.965,0.332,0.079
Ecuador,48,5.975,0.864,0.999,0.791,0.486,0.181
Bahrain,49,5.960,1.324,1.216,0.747,0.455,0.306
